query_id,query_name,query_type,release_id,release_version,timestamp,execution_time_ms,baseline_execution_time_ms,rows_examined,rows_returned,cpu_time_ms,io_cost,plan_hash,baseline_plan_hash,plan_changed,index_name,index_status,statistics_age,statistics_status,workload_level,schema_change,release_change,regression_label,regression_severity,expected_impact,user_impact,evidence
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 08:40:00,15.06,14.5,122,18,9.56,2.18,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,1,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 3.86, ""delta_ms"": 0.56, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 10:15:00,15.05,14.5,122,18,9.55,2.18,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,3,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 3.79, ""delta_ms"": 0.55, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 12:43:00,14.32,14.5,119,18,9.09,2.07,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,10,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -1.24, ""delta_ms"": -0.18, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 14:01:00,13.88,14.5,117,18,8.81,2.01,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,4,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -4.28, ""delta_ms"": -0.62, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 16:38:00,13.8,14.5,117,18,8.76,2.0,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,9,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -4.83, ""delta_ms"": -0.7, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 18:41:00,14.38,14.5,119,18,9.13,2.08,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,4,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": -0.83, ""delta_ms"": -0.12, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 20:17:00,15.21,14.5,122,18,9.65,2.2,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,13,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 4.9, ""delta_ms"": 0.71, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-01 22:44:00,13.98,14.5,117,18,8.87,2.03,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,6,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": -3.59, ""delta_ms"": -0.52, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-02 00:13:00,13.56,14.5,116,18,8.6,1.96,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,2,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -6.48, ""delta_ms"": -0.94, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-001,Find available appointment slots,find_available_slots,REL-101,v1.0.0,2026-07-02 02:06:00,14.14,14.5,118,18,8.97,2.05,62c759822b393c31,62c759822b393c31,0,idx_appt_dept_date_status,OPTIMAL,14,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -2.48, ""delta_ms"": -0.36, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 08:16:00,11.13,11.2,44,8,6.95,1.39,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,12,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -0.62, ""delta_ms"": -0.07, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 10:07:00,11.29,11.2,45,8,7.06,1.41,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,2,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": 0.8, ""delta_ms"": 0.09, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 12:40:00,10.65,11.2,43,8,6.66,1.33,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,10,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -4.91, ""delta_ms"": -0.55, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 14:04:00,10.71,11.2,44,8,6.7,1.34,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,11,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -4.37, ""delta_ms"": -0.49, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 16:18:00,10.72,11.2,44,8,6.7,1.34,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,14,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -4.29, ""delta_ms"": -0.48, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 18:06:00,11.12,11.2,44,8,6.95,1.39,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,5,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": -0.71, ""delta_ms"": -0.08, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 20:23:00,10.94,11.2,44,8,6.84,1.37,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,6,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -2.32, ""delta_ms"": -0.26, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-01 22:42:00,11.98,11.2,46,8,7.49,1.5,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,12,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 6.96, ""delta_ms"": 0.78, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-02 00:41:00,11.44,11.2,45,8,7.15,1.43,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,10,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 2.14, ""delta_ms"": 0.24, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-002,Check doctor availability,check_doctor_availability,REL-101,v1.0.0,2026-07-02 02:34:00,11.13,11.2,44,8,6.96,1.39,d92063c67a1d5b2c,d92063c67a1d5b2c,0,idx_appt_doctor_date,OPTIMAL,3,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -0.62, ""delta_ms"": -0.07, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 08:17:00,21.38,22.0,14,1,14.09,4.08,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,11,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": -2.82, ""delta_ms"": -0.62, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 10:49:00,23.13,22.0,15,1,15.25,4.42,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,4,CURRENT,LOW,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 5.14, ""delta_ms"": 1.13, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 12:20:00,20.47,22.0,14,1,13.49,3.91,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,5,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": -6.95, ""delta_ms"": -1.53, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 14:36:00,22.55,22.0,15,1,14.86,4.3,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,4,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 2.5, ""delta_ms"": 0.55, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 16:25:00,21.17,22.0,14,1,13.95,4.04,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,3,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": -3.77, ""delta_ms"": -0.83, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 18:15:00,22.3,22.0,15,1,14.7,4.26,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,12,CURRENT,NORMAL,NONE,release_deployment,NORMAL,OK,System performance within acceptable noise band.,Normal patient scheduling experience with zero delay.,"{""rule_triggered"": ""WITHIN_NOISE_BAND"", ""delta_pct"": 1.36, ""delta_ms"": 0.3, ""plan_diff"": ""NONE"", ""index_impact"": ""OPTIMAL"", ""recommendation"": ""Performance within normal operational variance.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 20:37:00,21.01,22.0,14,1,13.85,4.01,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,6,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": -4.5, ""delta_ms"": -0.99, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
SYNTH-Q-003,Create appointment,create_appointment,REL-101,v1.0.0,2026-07-01 22:08:00,22.9,22.0,15,1,15.09,4.37,6334b72f6d2d33d6,6334b72f6d2d33d6,0,idx_appt_doctor_date_time,OPTIMAL,2,CURRENT,HIGH,NONE,release_deployment,NORMAL,OK,Slight concurrency queueing without plan degradation.,Imperceptible patient UI latency (<50ms shift); no booking hazard.,"{""rule_triggered"": ""FALSE_POSITIVE_GRACE_BAND"", ""delta_pct"": 4.09, ""delta_ms"": 0.9, ""plan_diff"": ""NONE - Query plan remains optimal index search"", ""index_impact"": ""OPTIMAL (no index drop)"", ""workload_effect"": ""Queue delay during HIGH workload"", ""recommendation"": ""Maintain baseline. No schema or query regression detected; transient queue latency.""}"
